State Name,Two Wheeler,Three Wheeler,Four Wheeler,Goods Vehicles,Public Service Vehicle,Special Category Vehicles,Ambulance/Hearses,Construction Equipment Vehicle,Other
Andaman and Nicobar Island,1,30,81,NA,40,NA,NA,NA,7
Arunachal Pradesh,14,NA,5,NA,NA,NA,NA,NA,1
Assam,721,47041,161,7,15,NA,NA,NA,2
Bihar,5003,59079,114,11,26,NA,NA,NA,8
Chandigarh,298,1410,182,NA,40,NA,NA,NA,1
Chhattisgarh,6424,5341,117,1077,1,NA,NA,368,100
Delhi,14730,112831,3051,49,39,NA,NA,NA,1602
Goa,1314,28,289,13,36,2,NA,NA,4
Gujarat,13662,1869,1309,28,278,344,NA,26,77
Haryana,7777,18595,186,122,8,2,NA,NA,90
Himachal Pradesh,368,167,37,7,86,NA,NA,NA,46
Jammu and Kashmir,1417,43,10,6,43,NA,NA,NA,8
Jharkhand,2961,8986,139,24,4,NA,NA,NA,57
Karnataka,56737,16478,7212,153,44,1,1,NA,1420
Kerala,10299,2115,2524,43,23,NA,1,NA,17
Ladakh,12,NA,5484,NA,NA,NA,NA,NA,NA
Maharashtra,51149,6155,2,30,851,26,1,NA,601
Manipur,86,443,9,1,NA,NA,NA,NA,1
Meghalaya,16,6,3,3,NA,NA,NA,NA,NA
Mizoram,9,1,4,2,1,NA,NA,NA,3
Nagaland,44,NA,121,3,NA,1,NA,1,1
Odisha,10329,1808,75,21,NA,25,NA,1,23
Puducherry,1429,32,124,9,20,NA,NA,NA,NA
Punjab,6408,2878,798,35,2,NA,NA,NA,21
Rajasthan,23446,29631,12,25,1,NA,1,1,24
Sikkim,1,NA,2414,1,NA,NA,NA,NA,9
Tamil Nadu,44302,4470,13,1281,37,NA,NA,NA,193
Tripura,67,7510,14,1,NA,NA,NA,NA,1
Dadra and Nagar Haveli and Daman and Diu,69,36,153,2,10,7,NA,NA,NA
Uttar Pradesh,18295,257159,368,53,327,2,NA,NA,13
Uttarakhand,2614,22096,709,1,10,NA,NA,NA,21
West Bengal,2540,40948,615,28,97,NA,2,NA,61
