Category,City/Highway,Charging Stations
City,Chandigarh,48
City,Delhi,94
City,Jaipur,49
City,B'Lore,60
City,Ranchi,30
City,Lucknow,1
City,Goa,30
City,Hyderabad,57
City,Agra,15
City,Shimla,9
Highway,Delhi -Chandigarh,24
Highway,Mum-Pune,16
Highway,Delhi- Jaipur- Agra,31
Highway,Jaipur-Delhi Highway,9
Expressways,Mumbai - Pune,10
Expressways,Ahmadabad - Vadodara,10
Expressways,Delhi Agra Yamuna,20
Expressways,Bengaluru Mysore,14
Expressways,Bangaluru-Chennai,30
Expressways,Surat-Mumbai,30
Expressways,Agra-Lucknow,40
Expressways,Eastern Peripheral (A),14
Expressways,Hyderabad ORR,16
Highways,Delhi - Srinagar,80
Highways,Delhi – Kolkata,160
Highways,Agra - Nagpur,80
Highways,Meerut to GangotriDham,44
Highways,Mumbai - Delhi,124
Highways,Mumbai-Panaji,60
Highways,Mumbai - Nagpur,70
Highways,Mumbai - Bengaluru,100
Highways,Kolkata - Bhubaneswar,44
Highways,Kolkata - Nagpur,120
Highways,Kolkata - Gangtok,76
Highways,Chennai-Bhubaneswar,120
Highways,Chennai - Trivendram,74
Highways,Chennai-Ballary,62
Highways,Chennai - Nagpur,114
Highways,Mangaldai - Wakro,64
Total,Total,2049
